,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
240,240,2115947,12-Sep-21,Minnesota,Saint Paul,7th St W and N Walnut St,4,0,"7th St W and N Walnut St, Saint Paul Minnesota",44.9425281,-93.1051933
241,241,2122103,12-Sep-21,Illinois,Blue Island,12200  S Irving Ave,2,2,"12200  S Irving Ave, Blue Island Illinois",41.671774,-87.6767342
242,242,2113769,11-Sep-21,New Jersey,Paterson,E 18th St and Fulton Pl,0,4,"E 18th St and Fulton Pl, Paterson New Jersey",40.9231942,-74.1541848
243,243,2110346,7-Sep-21,Delaware,Wilmington,A St and New Castle Ave,0,4,"A St and New Castle Ave, Wilmington Delaware",39.7300848,-75.542717
244,244,2108378,5-Sep-21,Georgia,Athens,E Clayton St and N Jackson St,0,6,"E Clayton St and N Jackson St, Athens Georgia",33.9587568,-83.3745471
245,245,2108302,5-Sep-21,Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,"N Socrum Loop Rd and Fulton Green Rd, Lakeland Florida",28.1409908,-81.9564544
246,246,2108406,4-Sep-21,Georgia,Warner Robins,Mauldon Ct and Dunmurry Pl,1,4,"Mauldon Ct and Dunmurry Pl, Warner Robins Georgia",32.6404462,-83.6250011
247,247,2107168,3-Sep-21,New York,Syracuse,Nelson St and W Marcellus St,0,4,"Nelson St and W Marcellus St, Syracuse New York",43.044463,-76.174705
248,248,2104725,31-Aug-21,North Carolina,Elm City,3500  London Church Rd,2,2,"3500  London Church Rd, Elm City North Carolina",35.7632208,-77.9011459
249,249,2103311,29-Aug-21,Wisconsin,Milwaukee,N 41st St and W Lloyd St,0,4,"N 41st St and W Lloyd St, Milwaukee Wisconsin",43.0574688,-87.9646659
250,250,2103132,28-Aug-21,New York,Albany,Sherman St and Henry Johnson Blvd,0,5,"Sherman St and Henry Johnson Blvd, Albany New York",42.6587275,-73.7644748
251,251,2098246,23-Aug-21,Illinois,Chicago,W Wilson Ave and N Sheridan Rd,0,4,"W Wilson Ave and N Sheridan Rd, Chicago Illinois",41.9654295,-87.6547745
252,252,2094035,18-Aug-21,California,Los Angeles,W Jefferson Blvd and Culver Blvd,0,4,"W Jefferson Blvd and Culver Blvd, Los Angeles California",33.9685795,-118.4390164
253,253,2094457,18-Aug-21,North Carolina,Durham,Ridgeway Ave and Wabash St,1,3,"Ridgeway Ave and Wabash St, Durham North Carolina",35.9752666,-78.8883953
254,254,2091531,14-Aug-21,Indiana,Indianapolis,Wheeler St and E 28th St,1,3,"Wheeler St and E 28th St, Indianapolis Indiana",39.8067906,-86.1132302
255,255,2090949,14-Aug-21,New York,Brooklyn,Lexington Ave and Marcy Ave,0,4,"Lexington Ave and Marcy Ave, Brooklyn New York",40.6880544,-73.9477533
256,256,2090777,14-Aug-21,Indiana,Indianapolis,Lafayette Rd and W 38th St,1,4,"Lafayette Rd and W 38th St, Indianapolis Indiana",39.8241116,-86.2348848
257,257,2085489,8-Aug-21,Texas,Houston,2504 FM 1960 Rd E,1,5,"2504 FM 1960 Rd E, Houston Texas",30.0231807,-95.3917718
258,258,2080006,31-Jul-21,Michigan,Saginaw,2700  Lynnwood Ave,2,2,"2700  Lynnwood Ave, Saginaw Michigan",43.4021141,-83.931116
259,259,2078540,29-Jul-21,Iowa,Davenport,Pacific St and West Locust St,0,4,"Pacific St and West Locust St, Davenport Iowa",41.5365639,-90.6123128
260,260,2077587,29-Jul-21,Pennsylvania,Pittsburgh,239 Gilkeson Rd,3,2,"239 Gilkeson Rd, Pittsburgh Pennsylvania",40.3578412,-80.0570941
261,261,2077549,28-Jul-21,Alabama,Montgomery,1800  Rosa Parks Ave,1,3,"1800  Rosa Parks Ave, Montgomery Alabama",32.354281,-86.316869
262,262,2076889,28-Jul-21,South Carolina,Charleston,Hanover St and Johnson St,1,4,"Hanover St and Johnson St, Charleston South Carolina",32.8014566,-79.9412037
263,263,2072761,24-Jul-21,Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3,"Cherry St and Martin Luther King Jr Blvd, Macon Georgia",32.834718,-83.6259124
264,264,2069490,21-Jul-21,Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,4,"1836 Metzerott Rd, Hyattsville (Adelphi) Maryland",39.0049729,-76.9759824
265,265,2070645,21-Jul-21,Illinois,Chicago,1647 N La Salle Dr,0,8,"1647 N La Salle Dr, Chicago Illinois",41.9123404,-87.6327143
